,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Net Income,16270000000.0,11290000000.0,13940000000.0,13710000000.0,15200000000.0
Depreciation Depletion And Amortization,11850000000.0,10950000000.0,10660000000.0,11150000000.0,10990000000.0
Deferred Taxes And Investment Tax Credit,-175000000.0,449000000.0,-755000000.0,1910000000.0,320000000.0
Other Funds From Operations,5840000000.0,3600000000.0,6940000000.0,1330000000.0,-926000000.0
Changes In Working Capital,1940000000.0,2550000000.0,-6600000000.0,7970000000.0,-327000000.0
Change In Receivables,-797000000.0,240000000.0,-1800000000.0,-1090000000.0,154000000.0
Change In Accounts Payable,2520000000.0,-1430000000.0,5520000000.0,6970000000.0,-274000000.0
Cash Flow From Operating Activities,35730000000.0,28840000000.0,24180000000.0,36070000000.0,25260000000.0
Capital Expenditures,-20610000000.0,-16860000000.0,-13110000000.0,-10260000000.0,-10710000000.0
Net Assets From Acquisitions,-3470000000.0,-1570000000.0,-359000000.0,-180000000.0,-56000000.0
Sale Of Fixed Assets And Businesses,385000000.0,170000000.0,8330000000.0,271000000.0,1150000000.0
Other Investing Uses,-1060000000.0,-295000000.0,-879000000.0,-1850000000.0,
Other Investing Sources,716000000.0,66000000.0,3240000000.0,,
Cash Flow From Investing Activities,-24750000000.0,-18550000000.0,-6020000000.0,-11920000000.0,-9130000000.0
Cash Dividends Paid,-6140000000.0,-6110000000.0,-6150000000.0,-6120000000.0,-6050000000.0
Repurchase Of Common Stock,-2780000000.0,-9920000000.0,-9790000000.0,-2630000000.0,-5720000000.0
Change In Current Debt,512000000.0,-34000000.0,193000000.0,-324000000.0,-4660000000.0
Change In Long Term Debt,750000000.0,2350000000.0,-6070000000.0,-5380000000.0,3590000000.0
Other Financing Funds,-2300000000.0,-2500000000.0,-1020000000.0,-1670000000.0,-1460000000.0
Cash Flow From Financing Activities,-9950000000.0,-16210000000.0,-22830000000.0,-16120000000.0,-1430000000.0
Effect Of Exchange Rate Changes,69000000.0,-73000000.0,-140000000.0,235000000.0,-69000000.0
Net Change In Cash,1090000000.0,-5990000000.0,-4800000000.0,8270000000.0,1760000000.0